0.16	0.36
0.03	0.06
0.13	0.27
0.05	0.18
0.12	0.07
0.17	0.41
0.09	0.07
0.1	0.06
0.01	0.14
0.09	0.09
0.05	0.09
0.19	0.13
0.05	0.08
0.09	0.09
0.05	0.33
0.02	0.05
0.08	0.11
0.09	0.08
0.33	0.39
0.07	0.15
0.12	0.41
0.25	0.21
0.05	0.06
0.13	0.14
0.08	0.18
0.1	0.06
0.05	0.21
0.17	0.26
0.2	0.2
0.05	0.12
0.22	0.13
0.36	0.09
0.01	0.12
0.13	0.22
0.08	0.13
0.05	0.25
0.04	0.09
0.08	0.04
0.04	0.17
0.08	0.16
0.02	0.18
0.09	0.21
0.1	0.15
0.15	0.26
0.05	0.1
0.01	0.06
0.05	0.09
0.12	0.12
0.12	0.14
0.14	0.08
0.04	0.1
0.19	0.23
0.2	0.22
0.11	0.07
0.29	0.19
0.2	0.06
0.26	0.35
0.03	0.18
0.17	0.07
0.19	0.1
0.34	0.45
0.04	0.11
0.07	0.25
0.41	0.14
0.14	0.11
0.02	0.08
0.05	0.16
0.08	0.22
0.42	0.52
0.06	0.16
0.08	0.2
0.18	0.18
0.15	0.1
0.15	0.13
0.08	0.44
0.1	0.15
0.09	0.31
0.17	0.08
0.09	0.22
0.06	0.06
0.1	0.08
0.25	0.39
0.12	0.12
0.04	0.08
0.09	0.04
0.05	0.21
0.03	0.08
0.16	0.34
0.31	0.18
0.14	0.16
0.22	0.48
0.35	0.23
0.03	0.15
0.23	0.22
0.06	0.1
0.14	0.11
0.17	0.37
0.21	0.25
0.04	0.08
0.18	0.15
